      Magnets           dBLdI        DesignNumber   
                        T*m/A                         
---------------------------------------------------
       CH1XG2C30A   4.560000e-04  SR-MG-CRR-1001-H 
       CH1YG2C30A   5.530000e-04  SR-MG-CRR-1001-V 
       CH2XG2C30A   5.090000e-04  SR-MG-CRR-1560-H 
       CH2YG2C30A   5.440000e-04  SR-MG-CRR-1560-V 
       CM1XG4C30A   4.550000e-04  SR-MG-CRR-1000-H 
       CM1YG4C30A   5.520000e-04  SR-MG-CRR-1000-V 
       CM1YG4C30B   5.440000e-04  SR-MG-CRR-1560-V 
       CM1XG4C30B   5.090000e-04  SR-MG-CRR-1560-H 
       CL2YG6C30B   5.520000e-04  SR-MG-CRR-1000-V 
       CL2XG6C30B   4.550000e-04  SR-MG-CRR-1000-H 
       CL1YG6C30B   5.520000e-04  SR-MG-CRR-1000-V 
       CL1XG6C30B   4.550000e-04  SR-MG-CRR-1000-H 
       CL1XG2C01A   4.550000e-04  SR-MG-CRR-1000-H 
       CL1YG2C01A   5.520000e-04  SR-MG-CRR-1000-V 
       CL2XG2C01A   4.550000e-04  SR-MG-CRR-1000-H 
       CL2YG2C01A   5.520000e-04  SR-MG-CRR-1000-V 
       CM1XG4C01A   4.560000e-04  SR-MG-CRR-1001-H 
       CM1YG4C01A   5.530000e-04  SR-MG-CRR-1001-V 
       CM1YG4C01B   5.440000e-04  SR-MG-CRR-1560-V 
       CM1XG4C01B   5.090000e-04  SR-MG-CRR-1560-H 
       CH2YG6C01B   5.440000e-04  SR-MG-CRR-1560-V 
       CH2XG6C01B   5.090000e-04  SR-MG-CRR-1560-H 
       CH1YG6C01B   5.520000e-04  SR-MG-CRR-1000-V 
       CH1XG6C01B   4.550000e-04  SR-MG-CRR-1000-H 
       CH1XG2C02A   4.560000e-04  SR-MG-CRR-1001-H 
       CH1YG2C02A   5.530000e-04  SR-MG-CRR-1001-V 
       CH2XG2C02A   5.090000e-04  SR-MG-CRR-1560-H 
       CH2YG2C02A   5.440000e-04  SR-MG-CRR-1560-V 
       CM1XG4C02A   4.550000e-04  SR-MG-CRR-1000-H 
       CM1YG4C02A   5.520000e-04  SR-MG-CRR-1000-V 
       CM1YG4C02B   5.440000e-04  SR-MG-CRR-1560-V 
       CM1XG4C02B   5.090000e-04  SR-MG-CRR-1560-H 
       CL2YG6C02B   5.520000e-04  SR-MG-CRR-1000-V 
       CL2XG6C02B   4.550000e-04  SR-MG-CRR-1000-H 
       CL1YG6C02B   5.520000e-04  SR-MG-CRR-1000-V 
       CL1XG6C02B   4.550000e-04  SR-MG-CRR-1000-H 
       CL1XG2C03A   4.550000e-04  SR-MG-CRR-1000-H 
       CL1YG2C03A   5.520000e-04  SR-MG-CRR-1000-V 
       CL2XG2C03A   4.550000e-04  SR-MG-CRR-1000-H 
       CL2YG2C03A   5.520000e-04  SR-MG-CRR-1000-V 
       CM1XG4C03A   4.560000e-04  SR-MG-CRR-1001-H 
       CM1YG4C03A   5.530000e-04  SR-MG-CRR-1001-V 
       CM1YG4C03B   5.440000e-04  SR-MG-CRR-1560-V 
       CM1XG4C03B   5.090000e-04  SR-MG-CRR-1560-H 
       CH2YG6C03B   5.440000e-04  SR-MG-CRR-1560-V 
       CH2XG6C03B   5.090000e-04  SR-MG-CRR-1560-H 
       CH1YG6C03B   5.520000e-04  SR-MG-CRR-1000-V 
       CH1XG6C03B   4.550000e-04  SR-MG-CRR-1000-H 
       CH1XG2C04A   4.560000e-04  SR-MG-CRR-1001-H 
       CH1YG2C04A   5.530000e-04  SR-MG-CRR-1001-V 
       CH2XG2C04A   5.090000e-04  SR-MG-CRR-1560-H 
       CH2YG2C04A   5.440000e-04  SR-MG-CRR-1560-V 
       CM1XG4C04A   4.550000e-04  SR-MG-CRR-1000-H 
       CM1YG4C04A   5.520000e-04  SR-MG-CRR-1000-V 
       CM1YG4C04B   5.440000e-04  SR-MG-CRR-1560-V 
       CM1XG4C04B   5.090000e-04  SR-MG-CRR-1560-H 
       CL2YG6C04B   5.520000e-04  SR-MG-CRR-1000-V 
       CL2XG6C04B   4.550000e-04  SR-MG-CRR-1000-H 
       CL1YG6C04B   5.520000e-04  SR-MG-CRR-1000-V 
       CL1XG6C04B   4.550000e-04  SR-MG-CRR-1000-H 
       CL1XG2C05A   4.550000e-04  SR-MG-CRR-1000-H 
       CL1YG2C05A   5.520000e-04  SR-MG-CRR-1000-V 
       CL2XG2C05A   4.550000e-04  SR-MG-CRR-1000-H 
       CL2YG2C05A   5.520000e-04  SR-MG-CRR-1000-V 
       CM1XG4C05A   4.560000e-04  SR-MG-CRR-1001-H 
       CM1YG4C05A   5.530000e-04  SR-MG-CRR-1001-V 
       CM1YG4C05B   5.440000e-04  SR-MG-CRR-1560-V 
